,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
51000,5ae3003bca00550001e4a4b7,010000v010010,0.65,0.5625,0.625,0.75,0.625,low,Detail,Transparency,0
51197,5ae3003bca00550001e4a4b7,010000v010010,0.65,0.5625,0.625,0.75,0.625,low,Detail,Usefulness,0
61047,5ae3003bca00550001e4a4b7,011010v011011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Trustworthiness,0
61244,5ae3003bca00550001e4a4b7,011010v011011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Transparency,0
61441,5ae3003bca00550001e4a4b7,011010v011011,0.65,0.5625,0.625,0.75,0.625,low,Persuasiveness,Usefulness,0
57895,5ae3003bca00550001e4a4b7,011010v011110,0.65,0.5625,0.625,0.75,0.625,low,Formality,Trustworthiness,0
58092,5ae3003bca00550001e4a4b7,011010v011110,0.65,0.5625,0.625,0.75,0.625,low,Formality,Transparency,0
58289,5ae3003bca00550001e4a4b7,011010v011110,0.65,0.5625,0.625,0.75,0.625,low,Formality,Usefulness,0
80747,5ae3003bca00550001e4a4b7,100010v101010,0.65,0.5625,0.625,0.75,0.625,high,Structure,Trustworthiness,0
80944,5ae3003bca00550001e4a4b7,100010v101010,0.65,0.5625,0.625,0.75,0.625,high,Structure,Transparency,0
81141,5ae3003bca00550001e4a4b7,100010v101010,0.65,0.5625,0.625,0.75,0.625,high,Structure,Usefulness,0
67351,5ae3003bca00550001e4a4b7,100111v110111,0.65,0.5625,0.625,0.75,0.625,high,Length,Trustworthiness,0
67548,5ae3003bca00550001e4a4b7,100111v110111,0.65,0.5625,0.625,0.75,0.625,high,Length,Transparency,0
67745,5ae3003bca00550001e4a4b7,100111v110111,0.65,0.5625,0.625,0.75,0.625,high,Length,Usefulness,0
97295,5ae3003bca00550001e4a4b7,101011v111011,0.65,0.5625,0.625,0.75,0.625,high,Length,Trustworthiness,0
97492,5ae3003bca00550001e4a4b7,101011v111011,0.65,0.5625,0.625,0.75,0.625,high,Length,Transparency,1
97689,5ae3003bca00550001e4a4b7,101011v111011,0.65,0.5625,0.625,0.75,0.625,high,Length,Usefulness,1
118571,5ae3003bca00550001e4a4b7,111101v111111,0.65,0.5625,0.625,0.75,0.625,high,Detail,Trustworthiness,1
118768,5ae3003bca00550001e4a4b7,111101v111111,0.65,0.5625,0.625,0.75,0.625,high,Detail,Transparency,1
118965,5ae3003bca00550001e4a4b7,111101v111111,0.65,0.5625,0.625,0.75,0.625,high,Detail,Usefulness,1
117783,5ae3003bca00550001e4a4b7,111110v111111,0.65,0.5625,0.625,0.75,0.625,high,Persuasiveness,Trustworthiness,0
117980,5ae3003bca00550001e4a4b7,111110v111111,0.65,0.5625,0.625,0.75,0.625,high,Persuasiveness,Transparency,0
118177,5ae3003bca00550001e4a4b7,111110v111111,0.65,0.5625,0.625,0.75,0.625,high,Persuasiveness,Usefulness,0
20784,5aed7ebd75deca0001626f9a,000001v010001,0.75,0.4375,0.5,0.6875,0.5,low,Length,Trustworthiness,1
20981,5aed7ebd75deca0001626f9a,000001v010001,0.75,0.4375,0.5,0.6875,0.5,low,Length,Transparency,1
21178,5aed7ebd75deca0001626f9a,000001v010001,0.75,0.4375,0.5,0.6875,0.5,low,Length,Usefulness,1
15268,5aed7ebd75deca0001626f9a,000011v001011,0.75,0.4375,0.5,0.6875,0.5,low,Structure,Trustworthiness,0
15465,5aed7ebd75deca0001626f9a,000011v001011,0.75,0.4375,0.5,0.6875,0.5,low,Structure,Transparency,0
15662,5aed7ebd75deca0001626f9a,000011v001011,0.75,0.4375,0.5,0.6875,0.5,low,Structure,Usefulness,0
4236,5aed7ebd75deca0001626f9a,000111v010111,0.75,0.4375,0.5,0.6875,0.5,low,Length,Trustworthiness,1
4433,5aed7ebd75deca0001626f9a,000111v010111,0.75,0.4375,0.5,0.6875,0.5,low,Length,Transparency,1
4630,5aed7ebd75deca0001626f9a,000111v010111,0.75,0.4375,0.5,0.6875,0.5,low,Length,Usefulness,0
24724,5aed7ebd75deca0001626f9a,001011v001111,0.75,0.4375,0.5,0.6875,0.5,low,Formality,Trustworthiness,1
24921,5aed7ebd75deca0001626f9a,001011v001111,0.75,0.4375,0.5,0.6875,0.5,low,Formality,Transparency,1
25118,5aed7ebd75deca0001626f9a,001011v001111,0.75,0.4375,0.5,0.6875,0.5,low,Formality,Usefulness,1
61760,5aed7ebd75deca0001626f9a,011001v011011,0.75,0.4375,0.5,0.6875,0.5,low,Detail,Trustworthiness,1
61957,5aed7ebd75deca0001626f9a,011001v011011,0.75,0.4375,0.5,0.6875,0.5,low,Detail,Transparency,1
62154,5aed7ebd75deca0001626f9a,011001v011011,0.75,0.4375,0.5,0.6875,0.5,low,Detail,Usefulness,1
68064,5aed7ebd75deca0001626f9a,100100v100110,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Trustworthiness,0
68261,5aed7ebd75deca0001626f9a,100100v100110,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Transparency,1
68458,5aed7ebd75deca0001626f9a,100100v100110,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Usefulness,0
92492,5aed7ebd75deca0001626f9a,101001v101101,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Trustworthiness,1
92689,5aed7ebd75deca0001626f9a,101001v101101,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Transparency,1
92886,5aed7ebd75deca0001626f9a,101001v101101,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Usefulness,1
90128,5aed7ebd75deca0001626f9a,101010v101110,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Trustworthiness,1
90325,5aed7ebd75deca0001626f9a,101010v101110,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Transparency,1
90522,5aed7ebd75deca0001626f9a,101010v101110,0.75,0.4375,0.5,0.6875,0.5,high,Formality,Usefulness,1
113768,5aed7ebd75deca0001626f9a,110000v110010,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Trustworthiness,1
113965,5aed7ebd75deca0001626f9a,110000v110010,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Transparency,1
114162,5aed7ebd75deca0001626f9a,110000v110010,0.75,0.4375,0.5,0.6875,0.5,high,Detail,Usefulness,1
109040,5aed7ebd75deca0001626f9a,110101v111101,0.75,0.4375,0.5,0.6875,0.5,high,Structure,Trustworthiness,1
109237,5aed7ebd75deca0001626f9a,110101v111101,0.75,0.4375,0.5,0.6875,0.5,high,Structure,Transparency,1
109434,5aed7ebd75deca0001626f9a,110101v111101,0.75,0.4375,0.5,0.6875,0.5,high,Structure,Usefulness,1
22382,5badf0aeae1d020001df2cc7,000000v010000,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Trustworthiness,1
22579,5badf0aeae1d020001df2cc7,000000v010000,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Transparency,0
22776,5badf0aeae1d020001df2cc7,000000v010000,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Usefulness,0
5834,5badf0aeae1d020001df2cc7,000010v000110,0.55,0.3125,0.625,0.6875,0.8125,low,Formality,Trustworthiness,0
6031,5badf0aeae1d020001df2cc7,000010v000110,0.55,0.3125,0.625,0.6875,0.8125,low,Formality,Transparency,0
6228,5badf0aeae1d020001df2cc7,000010v000110,0.55,0.3125,0.625,0.6875,0.8125,low,Formality,Usefulness,0
3470,5badf0aeae1d020001df2cc7,000111v001111,0.55,0.3125,0.625,0.6875,0.8125,low,Structure,Trustworthiness,1
3667,5badf0aeae1d020001df2cc7,000111v001111,0.55,0.3125,0.625,0.6875,0.8125,low,Structure,Transparency,0
3864,5badf0aeae1d020001df2cc7,000111v001111,0.55,0.3125,0.625,0.6875,0.8125,low,Structure,Usefulness,1
34202,5badf0aeae1d020001df2cc7,001011v011011,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Trustworthiness,1
34399,5badf0aeae1d020001df2cc7,001011v011011,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Transparency,1
34596,5badf0aeae1d020001df2cc7,001011v011011,0.55,0.3125,0.625,0.6875,0.8125,low,Length,Usefulness,1
44446,5badf0aeae1d020001df2cc7,010100v010101,0.55,0.3125,0.625,0.6875,0.8125,low,Persuasiveness,Trustworthiness,0
44643,5badf0aeae1d020001df2cc7,010100v010101,0.55,0.3125,0.625,0.6875,0.8125,low,Persuasiveness,Transparency,1
44840,5badf0aeae1d020001df2cc7,010100v010101,0.55,0.3125,0.625,0.6875,0.8125,low,Persuasiveness,Usefulness,0
97242,5badf0aeae1d020001df2cc7,101011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Length,Trustworthiness,0
97439,5badf0aeae1d020001df2cc7,101011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Length,Transparency,1
97636,5badf0aeae1d020001df2cc7,101011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Length,Usefulness,0
86998,5badf0aeae1d020001df2cc7,101101v101111,0.55,0.3125,0.625,0.6875,0.8125,high,Detail,Trustworthiness,1
87195,5badf0aeae1d020001df2cc7,101101v101111,0.55,0.3125,0.625,0.6875,0.8125,high,Detail,Transparency,1
87392,5badf0aeae1d020001df2cc7,101101v101111,0.55,0.3125,0.625,0.6875,0.8125,high,Detail,Usefulness,1
113002,5badf0aeae1d020001df2cc7,110011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Structure,Trustworthiness,1
113199,5badf0aeae1d020001df2cc7,110011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Structure,Transparency,1
113396,5badf0aeae1d020001df2cc7,110011v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Structure,Usefulness,0
126398,5badf0aeae1d020001df2cc7,111000v111001,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Trustworthiness,0
126595,5badf0aeae1d020001df2cc7,111000v111001,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Transparency,0
126792,5badf0aeae1d020001df2cc7,111000v111001,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Usefulness,0
124034,5badf0aeae1d020001df2cc7,111010v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Trustworthiness,1
124231,5badf0aeae1d020001df2cc7,111010v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Transparency,1
124428,5badf0aeae1d020001df2cc7,111010v111011,0.55,0.3125,0.625,0.6875,0.8125,high,Persuasiveness,Usefulness,1
14395,5be3493a7e3c9b0001c4ccf2,000001v000011,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Trustworthiness,1
14592,5be3493a7e3c9b0001c4ccf2,000001v000011,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Transparency,1
14789,5be3493a7e3c9b0001c4ccf2,000001v000011,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Usefulness,1
30943,5be3493a7e3c9b0001c4ccf2,001000v001100,0.65,0.375,0.6875,0.8125,0.75,low,Formality,Trustworthiness,1
31140,5be3493a7e3c9b0001c4ccf2,001000v001100,0.65,0.375,0.6875,0.8125,0.75,low,Formality,Transparency,1
31337,5be3493a7e3c9b0001c4ccf2,001000v001100,0.65,0.375,0.6875,0.8125,0.75,low,Formality,Usefulness,1
43551,5be3493a7e3c9b0001c4ccf2,010110v011110,0.65,0.375,0.6875,0.8125,0.75,low,Structure,Trustworthiness,1
43748,5be3493a7e3c9b0001c4ccf2,010110v011110,0.65,0.375,0.6875,0.8125,0.75,low,Structure,Transparency,1
43945,5be3493a7e3c9b0001c4ccf2,010110v011110,0.65,0.375,0.6875,0.8125,0.75,low,Structure,Usefulness,1
62463,5be3493a7e3c9b0001c4ccf2,011000v011010,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Trustworthiness,1
62660,5be3493a7e3c9b0001c4ccf2,011000v011010,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Transparency,0
62857,5be3493a7e3c9b0001c4ccf2,011000v011010,0.65,0.375,0.6875,0.8125,0.75,low,Detail,Usefulness,0
77435,5be3493a7e3c9b0001c4ccf2,100001v100011,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Trustworthiness,0
77632,5be3493a7e3c9b0001c4ccf2,100001v100011,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Transparency,1
77829,5be3493a7e3c9b0001c4ccf2,100001v100011,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Usefulness,1
71131,5be3493a7e3c9b0001c4ccf2,100100v100101,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Trustworthiness,0
71328,5be3493a7e3c9b0001c4ccf2,100100v100101,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Transparency,0
71525,5be3493a7e3c9b0001c4ccf2,100100v100101,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Usefulness,0
73495,5be3493a7e3c9b0001c4ccf2,100101v110101,0.65,0.375,0.6875,0.8125,0.75,high,Length,Trustworthiness,1
73692,5be3493a7e3c9b0001c4ccf2,100101v110101,0.65,0.375,0.6875,0.8125,0.75,high,Length,Transparency,1
73889,5be3493a7e3c9b0001c4ccf2,100101v110101,0.65,0.375,0.6875,0.8125,0.75,high,Length,Usefulness,1
95559,5be3493a7e3c9b0001c4ccf2,101010v101011,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Trustworthiness,1
95756,5be3493a7e3c9b0001c4ccf2,101010v101011,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Transparency,1
95953,5be3493a7e3c9b0001c4ccf2,101010v101011,0.65,0.375,0.6875,0.8125,0.75,high,Persuasiveness,Usefulness,1
113683,5be3493a7e3c9b0001c4ccf2,110000v110010,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Trustworthiness,0
113880,5be3493a7e3c9b0001c4ccf2,110000v110010,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Transparency,0
114077,5be3493a7e3c9b0001c4ccf2,110000v110010,0.65,0.375,0.6875,0.8125,0.75,high,Detail,Usefulness,0
12172,5bf3199ebe7c7300017b710a,000100v001100,0.7,0.5625,0.75,0.625,0.75,low,Structure,Trustworthiness,1
12369,5bf3199ebe7c7300017b710a,000100v001100,0.7,0.5625,0.75,0.625,0.75,low,Structure,Transparency,1
12566,5bf3199ebe7c7300017b710a,000100v001100,0.7,0.5625,0.75,0.625,0.75,low,Structure,Usefulness,1
9020,5bf3199ebe7c7300017b710a,000001v000101,0.7,0.5625,0.75,0.625,0.75,low,Formality,Trustworthiness,1
9217,5bf3199ebe7c7300017b710a,000001v000101,0.7,0.5625,0.75,0.625,0.75,low,Formality,Transparency,1
9414,5bf3199ebe7c7300017b710a,000001v000101,0.7,0.5625,0.75,0.625,0.75,low,Formality,Usefulness,1
49996,5bf3199ebe7c7300017b710a,010011v011011,0.7,0.5625,0.75,0.625,0.75,low,Structure,Trustworthiness,1
50193,5bf3199ebe7c7300017b710a,010011v011011,0.7,0.5625,0.75,0.625,0.75,low,Structure,Transparency,1
50390,5bf3199ebe7c7300017b710a,010011v011011,0.7,0.5625,0.75,0.625,0.75,low,Structure,Usefulness,1
